2023-06-16 15:08:19.510 +03:00 [INF] Hello, world!
2023-06-16 15:08:19.541 +03:00 [INF] Program başladı
2023-06-16 15:08:19.542 +03:00 [INF] Program başladı
2023-06-16 15:08:52.348 +03:00 [INF] Program başladı
2023-06-16 15:09:26.142 +03:00 [INF] Program başladı
2023-06-16 15:13:58.347 +03:00 [INF] Program başladı
2023-06-16 15:14:21.638 +03:00 [INF] Program başladı
2023-06-16 15:14:43.969 +03:00 [INF] Program başladı
2023-06-16 15:31:37.115 +03:00 [INF] Program başladı
2023-06-16 16:17:57.273 +03:00 [INF] Program başladı
2023-06-16 16:43:25.963 +03:00 [INF] Program başladı
2023-06-16 16:45:31.186 +03:00 [INF] Program başladı
2023-06-16 16:46:24.400 +03:00 [INF] Program başladı
2023-06-16 17:28:25.750 +03:00 [INF] Program başladı
2023-06-16 17:31:28.585 +03:00 [INF] Program başladı
2023-06-16 17:32:25.090 +03:00 [INF] Program başladı
2023-06-16 17:35:08.096 +03:00 [INF] Program başladı
2023-06-16 17:36:57.061 +03:00 [INF] Program başladı
2023-06-16 17:40:29.188 +03:00 [INF] Program başladı
